iter	Passed	Remaining
917	6677	596
918	6684	589
919	6691	581
920	6698	574
921	6705	567
922	6712	559
923	6719	552
924	6727	545
925	6734	538
926	6742	530
927	6749	523
928	6757	516
929	6764	509
930	6771	501
931	6779	494
932	6786	487
933	6794	480
934	6801	472
935	6809	465
936	6816	458
937	6824	451
938	6831	443
939	6839	436
940	6846	429
941	6854	422
942	6861	414
943	6868	407
944	6876	400
945	6883	392
946	6891	385
947	6898	378
948	6905	371
949	6912	363
950	6919	356
951	6926	349
952	6933	341
953	6940	334
954	6947	327
955	6954	320
956	6961	312
957	6968	305
958	6975	298
959	6982	290
960	6989	283
961	6997	276
962	7003	269
963	7010	261
964	7017	254
965	7025	247
966	7033	240
967	7040	232
968	7047	225
969	7054	218
970	7061	210
971	7069	203
972	7076	196
973	7083	189
974	7090	181
975	7097	174
976	7105	167
977	7112	159
978	7119	152
979	7126	145
980	7134	138
981	7141	130
982	7148	123
983	7156	116
984	7163	109
985	7171	101
986	7178	94
987	7186	87
988	7192	80
989	7199	72
990	7206	65
991	7213	58
992	7220	50
993	7228	43
994	7235	36
995	7242	29
996	7250	21
997	7257	14
998	7264	7
999	7272	0
