iter	Passed	Remaining
573	3901	2895
574	3908	2889
575	3915	2882
576	3922	2875
577	3929	2869
578	3936	2862
579	3943	2855
580	3951	2849
581	3958	2842
582	3964	2835
583	3970	2828
584	3977	2821
585	3984	2814
586	3990	2807
587	3997	2801
588	4005	2794
589	4011	2787
590	4018	2780
591	4024	2773
592	4031	2766
593	4037	2759
594	4044	2753
595	4051	2746
596	4058	2739
597	4066	2733
598	4073	2726
599	4079	2719
600	4086	2713
601	4093	2706
602	4100	2699
603	4107	2692
604	4113	2685
605	4120	2679
606	4127	2672
607	4133	2665
608	4140	2658
609	4147	2651
610	4153	2644
611	4161	2638
612	4167	2631
613	4174	2624
614	4181	2617
615	4187	2610
616	4194	2603
617	4201	2596
618	4208	2590
619	4214	2583
620	4221	2576
621	4228	2569
622	4235	2562
623	4242	2556
624	4249	2549
625	4256	2542
626	4263	2536
627	4271	2530
628	4278	2523
629	4285	2516
630	4292	2509
631	4298	2503
632	4305	2495
633	4311	2488
634	4318	2482
635	4325	2475
636	4332	2468
637	4339	2462
638	4345	2455
639	4352	2448
640	4358	2441
641	4365	2434
642	4371	2427
643	4378	2420
644	4385	2413
645	4392	2406
646	4398	2399
647	4404	2392
648	4412	2386
649	4418	2379
650	4425	2372
651	4432	2365
652	4438	2358
653	4445	2351
654	4452	2345
655	4458	2338
656	4465	2331
657	4472	2324
658	4478	2317
659	4485	2310
660	4492	2303
661	4499	2297
662	4505	2290
663	4512	2283
664	4519	2276
665	4526	2269
666	4533	2263
667	4539	2256
668	4546	2249
669	4552	2242
670	4559	2235
671	4565	2228
672	4572	2221
673	4579	2215
674	4586	2208
675	4592	2201
676	4599	2194
677	4606	2187
678	4612	2180
679	4619	2173
680	4625	2166
681	4632	2160
682	4638	2153
683	4645	2146
684	4651	2139
685	4657	2131
686	4664	2125
687	4670	2118
688	4676	2110
689	4683	2104
690	4689	2097
691	4696	2090
692	4703	2083
693	4709	2076
694	4716	2069
695	4722	2062
696	4729	2056
697	4736	2049
698	4743	2042
699	4750	2035
700	4757	2029
701	4764	2022
702	4771	2015
703	4777	2008
704	4784	2002
705	4791	1995
706	4798	1988
707	4805	1981
708	4812	1975
709	4818	1968
710	4825	1961
711	4832	1954
712	4838	1947
713	4845	1940
714	4852	1934
715	4859	1927
716	4866	1920
717	4874	1914
718	4881	1907
719	4888	1901
720	4894	1894
721	4901	1887
722	4908	1880
723	4915	1873
724	4922	1867
725	4929	1860
726	4936	1853
727	4943	1847
728	4950	1840
729	4958	1833
730	4965	1827
731	4972	1820
732	4979	1813
733	4986	1807
734	4993	1800
735	5000	1793
736	5007	1786
737	5014	1780
738	5021	1773
739	5029	1766
740	5036	1760
741	5042	1753
742	5050	1746
743	5057	1740
744	5064	1733
745	5071	1726
746	5077	1719
747	5084	1713
748	5091	1706
749	5097	1699
750	5104	1692
751	5111	1685
752	5119	1679
753	5126	1672
754	5133	1665
755	5140	1659
756	5147	1652
757	5154	1645
758	5161	1638
759	5168	1632
760	5174	1625
761	5182	1618
762	5188	1611
763	5195	1604
764	5202	1598
765	5209	1591
766	5216	1584
767	5223	1577
768	5230	1571
769	5237	1564
770	5244	1557
771	5251	1550
772	5258	1544
773	5265	1537
774	5272	1530
775	5279	1524
776	5287	1517
777	5293	1510
778	5300	1503
779	5307	1496
780	5313	1489
781	5320	1483
782	5327	1476
783	5333	1469
784	5340	1462
785	5346	1455
786	5353	1448
787	5360	1442
788	5367	1435
789	5374	1428
790	5382	1422
791	5390	1415
792	5396	1408
793	5402	1401
794	5409	1394
795	5415	1387
796	5422	1381
797	5429	1374
798	5436	1367
799	5443	1360
800	5450	1354
801	5456	1347
802	5464	1340
803	5472	1334
804	5479	1327
805	5486	1320
806	5494	1313
807	5501	1307
808	5509	1300
809	5516	1294
810	5523	1287
811	5530	1280
812	5537	1273
813	5544	1266
814	5551	1260
815	5558	1253
816	5565	1246
817	5572	1239
818	5578	1232
819	5585	1226
820	5592	1219
821	5599	1212
822	5605	1205
823	5612	1198
824	5619	1191
825	5626	1185
826	5633	1178
827	5640	1171
828	5647	1164
829	5654	1158
830	5661	1151
831	5668	1144
832	5675	1137
833	5682	1130
834	5689	1124
835	5696	1117
836	5703	1110
837	5710	1103
838	5717	1097
839	5724	1090
840	5731	1083
841	5738	1076
842	5744	1069
843	5751	1063
844	5758	1056
845	5765	1049
846	5772	1042
847	5779	1035
848	5786	1029
849	5792	1022
850	5799	1015
851	5806	1008
852	5813	1001
853	5819	994
854	5826	988
855	5833	981
856	5840	974
857	5846	967
858	5853	960
859	5860	953
860	5867	947
861	5873	940
862	5880	933
863	5887	926
864	5893	919
865	5900	913
866	5907	906
867	5914	899
868	5921	892
869	5927	885
870	5934	878
871	5941	872
872	5948	865
873	5954	858
874	5961	851
875	5968	844
876	5974	837
877	5981	831
878	5988	824
879	5995	817
880	6002	810
881	6008	803
882	6015	797
883	6022	790
884	6028	783
885	6035	776
886	6042	769
887	6049	762
888	6056	756
889	6062	749
890	6069	742
891	6076	735
892	6083	728
893	6090	722
894	6097	715
895	6104	708
896	6110	701
897	6117	694
898	6124	688
899	6131	681
900	6137	674
901	6144	667
902	6150	660
903	6157	653
904	6164	647
905	6171	640
906	6178	633
907	6185	626
908	6192	619
909	6199	613
910	6205	606
911	6212	599
912	6219	592
913	6226	585
914	6233	579
915	6239	572
916	6245	565
917	6251	558
918	6258	551
919	6265	544
920	6272	538
921	6279	531
922	6285	524
923	6292	517
924	6299	510
925	6306	503
926	6313	497
927	6320	490
928	6327	483
929	6334	476
930	6341	470
931	6348	463
932	6355	456
933	6362	449
934	6370	442
935	6378	436
936	6384	429
937	6392	422
938	6399	415
939	6406	408
940	6413	402
941	6420	395
942	6426	388
943	6433	381
944	6440	374
945	6446	368
946	6454	361
947	6461	354
948	6468	347
949	6475	340
950	6482	334
951	6489	327
952	6496	320
953	6503	313
954	6510	306
955	6517	299
956	6524	293
957	6530	286
958	6536	279
959	6543	272
960	6550	265
961	6557	259
962	6564	252
963	6571	245
964	6577	238
965	6584	231
966	6591	224
967	6597	218
968	6604	211
969	6611	204
970	6618	197
971	6623	190
972	6630	183
973	6636	177
974	6643	170
975	6650	163
976	6656	156
977	6663	149
978	6670	143
979	6677	136
980	6683	129
981	6690	122
982	6697	115
983	6704	109
984	6711	102
985	6718	95
986	6725	88
987	6732	81
988	6739	74
989	6745	68
990	6752	61
991	6759	54
992	6766	47
993	6773	40
994	6779	34
995	6786	27
996	6793	20
997	6800	13
998	6807	6
999	6814	0
